val_loss,val_auc,val_acc
0.7010208262007226,0.43402985074626865,0.4427083333333333
0.6975733403958154,0.4881194029850746,0.484375
0.6937577008418732,0.520955223880597,0.5364583333333334
0.6919504062084837,0.5389850746268657,0.5104166666666666
0.6927056679408533,0.5309850746268657,0.5260416666666666
0.6924447381954827,0.523223880597015,0.5260416666666666
0.6924614555710434,0.5260895522388059,0.5364583333333334
0.693546601317236,0.502089552238806,0.5104166666666666
0.6937172389741392,0.5037611940298508,0.515625
0.6929039248644949,0.5053134328358209,0.515625
0.6928496427977069,0.5073432835820896,0.515625
0.6934249066615337,0.4991044776119403,0.515625
0.6932778391999479,0.5065074626865672,0.53125
0.6930431664721066,0.5035223880597015,0.515625
0.6929384933806159,0.5096119402985075,0.515625
0.6931217261044741,0.5029253731343284,0.5104166666666666
0.6931506529011259,0.5019701492537313,0.515625
0.6922843923230628,0.5145074626865671,0.53125
0.6920249505289027,0.5104477611940299,0.515625
0.6926944839966122,0.506268656716418,0.515625
0.6932156116379965,0.5094925373134328,0.53125
0.6933979944156466,0.49623880597014924,0.5104166666666666
0.6930352226725341,0.5017313432835822,0.5364583333333334
0.6928873483593829,0.5024477611940299,0.4895833333333333
0.6920968058152064,0.5183283582089553,0.53125
0.6932564274470039,0.5094925373134328,0.5208333333333334
0.6935462828715897,0.5043582089552239,0.5364583333333334
0.6933451204743436,0.49576119402985075,0.5
0.693685043715533,0.5034029850746269,0.5416666666666666
0.6930158422583125,0.5018507462686568,0.484375
0.6926775969809112,0.5171343283582089,0.5416666666666666
0.6922692186259004,0.5128358208955224,0.5104166666666666
0.6924730831074722,0.5032835820895523,0.5052083333333334
0.6932958409988927,0.49814925373134333,0.5104166666666666
0.693231096233463,0.503044776119403,0.5104166666666666
0.6935812899259607,0.5024477611940299,0.5208333333333334
0.6929094710633811,0.5096119402985074,0.5416666666666666
0.6933646512789329,0.4974328358208955,0.4947916666666667
0.6932659233833846,0.5026865671641791,0.5104166666666666
0.6930798097056717,0.5004179104477612,0.5
0.6921537932844272,0.5047164179104477,0.5
0.6929935164644349,0.5147462686567164,0.5260416666666666
0.6933325719817413,0.4995820895522388,0.5
0.6927350963054706,0.5135522388059701,0.5104166666666666
0.6926390495954932,0.5012537313432835,0.515625
0.6929736665394463,0.5071044776119402,0.53125
0.6927899023149889,0.5008955223880597,0.5208333333333334
0.6926345279661064,0.5153432835820895,0.5208333333333334
0.6932146684528391,0.5056716417910447,0.5208333333333334
0.6934978413289361,0.5043582089552239,0.515625
0.6932226971706927,0.505910447761194,0.5052083333333334
0.6933082693571998,0.5048358208955224,0.515625
0.6935479578967199,0.4945671641791045,0.5208333333333334
0.692987352146945,0.4987462686567164,0.515625
0.6931215651759856,0.5053134328358209,0.5208333333333334
0.6926350327555227,0.5161791044776121,0.5364583333333334
0.6929076739117178,0.5001791044776119,0.5208333333333334
0.6932032726402338,0.5017313432835822,0.515625
0.6926060886327493,0.502089552238806,0.515625
0.69216526026073,0.5122388059701493,0.5260416666666666
0.692331849766728,0.504955223880597,0.5
0.6932744209438811,0.5035223880597015,0.515625
0.6935156435594325,0.5037611940298508,0.5208333333333334
0.6932646525591134,0.5044776119402985,0.5208333333333334
0.6922779201817838,0.515223880597015,0.5260416666666666
0.6920963324608356,0.5164179104477612,0.5260416666666666
0.6928963143610588,0.49982089552238806,0.5104166666666666
0.6925060389609605,0.5063880597014925,0.5104166666666666
0.6930512763647666,0.5168955223880597,0.5416666666666666
0.6928966526113168,0.5106865671641792,0.5260416666666666
0.6924985023222799,0.5066268656716417,0.4895833333333333
0.6929842929471306,0.5023283582089553,0.515625
0.6932550329569152,0.500776119402985,0.515625
0.6933320358671228,0.4994626865671642,0.484375
0.6931810782082355,0.49922388059701495,0.4895833333333333
0.6926818270613339,0.4991044776119403,0.5
0.6928237295083509,0.5137910447761194,0.5052083333333334
0.6932580410774442,0.5063880597014925,0.515625
0.6927383847130595,0.5130746268656716,0.5208333333333334
0.6931784435893986,0.4976716417910448,0.4895833333333333
0.6935612613632567,0.4924179104477612,0.4895833333333333
0.6925068061938037,0.5018507462686568,0.4947916666666667
0.6930333588609313,0.4948059701492537,0.4791666666666667
0.6929712772262384,0.5075820895522388,0.5
0.6928519274344715,0.5045970149253731,0.4947916666666667
0.6931115861493864,0.504955223880597,0.4791666666666667
0.6930279323768981,0.5044776119402985,0.4895833333333333
0.692844278190106,0.505910447761194,0.484375
0.6933135469362148,0.5045970149253731,0.5
0.6934411001320595,0.504,0.4895833333333333
0.6930898614819738,0.4926567164179105,0.4739583333333333
0.6929209841321153,0.5090149253731343,0.5052083333333334
0.6926833930247862,0.508776119402985,0.5
0.6931637506413008,0.49779104477611946,0.4635416666666667
0.6939282644093229,0.49444776119402983,0.46875
0.6935527435712956,0.5090149253731343,0.4947916666666667
0.692905854458355,0.49623880597014924,0.484375
0.692899539635739,0.4993432835820895,0.484375
0.6931729894637821,0.5088955223880597,0.5
0.6926839277263532,0.5071044776119402,0.5052083333333334
0.6933735153002653,0.4998208955223881,0.5052083333333334
0.6924333344097482,0.5096119402985074,0.484375
0.6919211212612245,0.5173731343283582,0.5260416666666666
0.6920869667009354,0.5180895522388059,0.5364583333333334
0.6927599187047976,0.5080597014925373,0.4895833333333333
0.6918622822803023,0.5118805970149254,0.5052083333333334
0.6922800644461428,0.5042388059701493,0.5
0.6916639478396828,0.5154626865671642,0.5052083333333334
0.6912165674331853,0.5022089552238806,0.46875
0.6908268909567271,0.5074626865671642,0.5
0.6911571205847981,0.5025671641791045,0.4895833333333333
0.6933614383657697,0.49289552238805967,0.4427083333333333
0.6912243676986046,0.4905074626865672,0.4479166666666667
0.690176366050746,0.5055522388059701,0.46875
0.6913452012051922,0.5034029850746269,0.4739583333333333
0.6912321728993455,0.49110447761194026,0.4166666666666667
0.6920987109231374,0.48752238805970144,0.4322916666666667
0.6921096932071745,0.4930149253731343,0.4583333333333333
0.6922688518179712,0.48346268656716423,0.4479166666666667
0.6922665000840912,0.4857313432835821,0.453125
